Gaute,
flere ting:
jeg må innrømme at når jeg bruker de rutinene jeg sendte deg,
dvs for mine problemer, kommer ting og tang rimelig bra ut.
Jeg hra lagt ved 4 eksempler for J=0 og T=1 nukleon-nukleon
G-matrise, diagonalelementer, med 30 punkter, før og etter interpolasjon,
og 100 pkter. som du vil se av filene når du plotter, er det et veldig
bra samsvar. potensialet utviser til og med en dip, slik at det tester
interpolasjonen skikkelig. Har egentlig aldri opplevd noen stor
diskrepans. Men jeg skal se mere på problemet ditt.

Jeg er i USA just nu og har noen flere spørsmål til deg.
skal holde et foredrag torsdag og tenkte å nevne noe om
kompleks scaling. tenkte derfor å spørre deg om følgende
1) har du noen figurer med 
   a) sammenlikning av spredningstilfelle for løsning av Lippmann-schwinger
      for vanlig fredholm-metode (ikke kowalski), analytisk kontinuering,
      og complex scaling? Gjerne med både Ginocchio, 5He og enkelt Yukawa
      pot.
   b) figur med egenverdier, bundne og resonanser for ulike vinkler theta
      og med pot av typen yukawa? Har du noe analyse av resultatene som
      funksjon av theta?
   c) dersom du har skrevet opp noe, order å sende det også? så kan jeg gjerne
      iterere litt videre.

2) orker du også sende siste versjon av to-legeme complex-scaling koden
din? send gjerne hele pakken, tenkte nemlig å teste den ut på NN pot.
har koda deler av potensialet til machleidt.
 0.3750590938579204 -5.852755594429774E-06
 0.3964464225039183 -5.723907537874920E-06
 0.4186373347998525 -5.588971766241827E-06
 0.4416741939523357 -5.447880093018644E-06
 0.4656039367558523 -5.300553448956117E-06
 0.4904784970056267 -5.146903623059705E-06
 0.5163552813594253 -4.986836314441593E-06
 0.5432977054414515 -4.820255591615932E-06
 0.5713757992006099 -4.647069971629448E-06
 0.6006668919822206 -4.467200230529156E-06
 0.6312563894940466 -4.280589195012004E-06
 0.6632386569022959 -4.087213712265992E-06
 0.6967180247525894 -3.887099051154832E-06
 0.7318099373632462 -3.680335902338790E-06
 0.7686422668935861 -3.467100111687103E-06
 0.8073568205855594 -3.247675064288702E-06
